pm2_5,city,co,pm10,level,o3,spider,rank,so2,date,aqi,no2
8 ,北海,0.9 ,30 ,优,76 ,aqi,9 ,6 ,2017-06-01,38 ,4 
10 ,北海,0.8 ,35 ,良,103 ,aqi,42 ,6 ,2017-06-02,53 ,5 
10 ,北海,0.7 ,35 ,良,110 ,aqi,57 ,6 ,2017-06-03,59 ,5 
8 ,北海,0.7 ,34 ,良,105 ,aqi,72 ,6 ,2017-06-04,55 ,5 
8 ,北海,0.7 ,29 ,优,93 ,aqi,61 ,6 ,2017-06-05,47 ,6 
13 ,北海,0.9 ,28 ,优,96 ,aqi,27 ,8 ,2017-06-06,48 ,9 
12 ,北海,1 ,23 ,优,81 ,aqi,19 ,9 ,2017-06-07,41 ,12 
5 ,北海,0.8 ,16 ,优,85 ,aqi,16 ,7 ,2017-06-08,43 ,9 
5 ,北海,0.7 ,18 ,良,145 ,aqi,21 ,6 ,2017-06-09,88 ,7 
5 ,北海,0.7 ,20 ,优,72 ,aqi,19 ,6 ,2017-06-10,36 ,7 
8 ,北海,0.8 ,24 ,优,72 ,aqi,14 ,6 ,2017-06-11,36 ,10 
7 ,北海,0.8 ,24 ,优,76 ,aqi,17 ,6 ,2017-06-12,38 ,8 
6 ,北海,0.8 ,26 ,优,72 ,aqi,40 ,6 ,2017-06-13,36 ,8 
7 ,北海,0.8 ,28 ,优,68 ,aqi,99 ,7 ,2017-06-14,34 ,12 
12 ,北海,0.8 ,36 ,优,88 ,aqi,81 ,7 ,2017-06-15,44 ,12 
3 ,北海,0.7 ,27 ,优,64 ,aqi,64 ,6 ,2017-06-16,32 ,7 
9 ,北海,1 ,27 ,优,67 ,aqi,14 ,9 ,2017-06-17,34 ,12 
13 ,北海,1.1 ,32 ,优,74 ,aqi,57 ,9 ,2017-06-18,37 ,11 
6 ,北海,0.9 ,21 ,优,58 ,aqi,3 ,6 ,2017-06-19,29 ,10 
4 ,北海,0.8 ,27 ,优,66 ,aqi,52 ,6 ,2017-06-20,33 ,7 
30 ,包头,0.7 ,89 ,良,136 ,aqi,170 ,25 ,2017-06-01,80 ,42 
50 ,包头,0.4 ,222 ,轻度污染,98 ,aqi,309 ,8 ,2017-06-02,136 ,14 
22 ,包头,0.5 ,80 ,良,126 ,aqi,294 ,13 ,2017-06-03,72 ,27 
44 ,包头,1.1 ,110 ,轻度污染,166 ,aqi,280 ,25 ,2017-06-04,106 ,41 
32 ,包头,1 ,45 ,良,109 ,aqi,240 ,18 ,2017-06-05,58 ,29 
30 ,包头,0.8 ,49 ,优,93 ,aqi,210 ,13 ,2017-06-06,49 ,27 
26 ,包头,1.1 ,62 ,良,107 ,aqi,245 ,29 ,2017-06-07,56 ,40 
29 ,包头,0.9 ,74 ,良,144 ,aqi,232 ,17 ,2017-06-08,87 ,44 
38 ,包头,0.9 ,81 ,轻度污染,162 ,aqi,162 ,23 ,2017-06-09,102 ,47 
57 ,包头,0.9 ,152 ,轻度污染,147 ,aqi,280 ,25 ,2017-06-10,101 ,32 
31 ,包头,0.6 ,70 ,良,145 ,aqi,277 ,14 ,2017-06-11,88 ,33 
38 ,包头,0.6 ,116 ,良,154 ,aqi,285 ,18 ,2017-06-12,95 ,35 
21 ,包头,0.5 ,59 ,轻度污染,168 ,aqi,334 ,11 ,2017-06-13,108 ,29 
38 ,包头,0.7 ,78 ,轻度污染,164 ,aqi,275 ,18 ,2017-06-14,104 ,32 
53 ,包头,1.1 ,110 ,良,158 ,aqi,231 ,31 ,2017-06-15,99 ,59 
49 ,包头,1 ,142 ,轻度污染,177 ,aqi,283 ,28 ,2017-06-16,116 ,44 
29 ,包头,1 ,58 ,轻度污染,190 ,aqi,334 ,19 ,2017-06-17,128 ,29 
22 ,包头,0.8 ,56 ,良,142 ,aqi,209 ,10 ,2017-06-18,85 ,26 
20 ,包头,0.7 ,55 ,良,112 ,aqi,165 ,8 ,2017-06-19,60 ,25 
30 ,包头,1.1 ,81 ,良,135 ,aqi,223 ,30 ,2017-06-20,80 ,41 
36 ,宝鸡,0.6 ,85 ,良,147 ,aqi,163 ,6 ,2017-06-01,90 ,24 
38 ,宝鸡,0.6 ,97 ,轻度污染,175 ,aqi,310 ,9 ,2017-06-02,114 ,40 
47 ,宝鸡,0.8 ,98 ,良,92 ,aqi,288 ,9 ,2017-06-03,74 ,41 
15 ,宝鸡,0.9 ,18 ,良,101 ,aqi,173 ,3 ,2017-06-04,51 ,21 
16 ,宝鸡,0.8 ,26 ,良,134 ,aqi,12 ,4 ,2017-06-05,79 ,18 
15 ,宝鸡,0.5 ,39 ,良,106 ,aqi,140 ,4 ,2017-06-06,55 ,24 
19 ,宝鸡,0.6 ,53 ,良,120 ,aqi,201 ,6 ,2017-06-07,67 ,25 
14 ,宝鸡,0.5 ,32 ,良,128 ,aqi,34 ,5 ,2017-06-08,74 ,21 
26 ,宝鸡,0.8 ,51 ,良,68 ,aqi,201 ,6 ,2017-06-09,51 ,34 
16 ,宝鸡,0.5 ,45 ,良,133 ,aqi,89 ,5 ,2017-06-10,78 ,25 
28 ,宝鸡,0.7 ,77 ,良,87 ,aqi,242 ,7 ,2017-06-11,64 ,38 
28 ,宝鸡,0.7 ,70 ,良,159 ,aqi,259 ,7 ,2017-06-12,100 ,31 
33 ,宝鸡,0.7 ,71 ,轻度污染,162 ,aqi,256 ,7 ,2017-06-13,102 ,30 
43 ,宝鸡,0.7 ,74 ,良,83 ,aqi,159 ,6 ,2017-06-14,62 ,36 
32 ,宝鸡,0.7 ,65 ,良,155 ,aqi,175 ,7 ,2017-06-15,96 ,32 
34 ,宝鸡,0.7 ,75 ,轻度污染,165 ,aqi,246 ,6 ,2017-06-16,105 ,34 
50 ,宝鸡,0.8 ,101 ,轻度污染,178 ,aqi,244 ,9 ,2017-06-17,117 ,40 
49 ,宝鸡,0.8 ,94 ,轻度污染,172 ,aqi,305 ,7 ,2017-06-18,111 ,33 
30 ,宝鸡,0.6 ,76 ,良,149 ,aqi,317 ,7 ,2017-06-19,91 ,25 
20 ,宝鸡,0.5 ,46 ,良,127 ,aqi,111 ,5 ,2017-06-20,73 ,27 
42 ,保定,0.9 ,84 ,中度污染,220 ,aqi,274 ,25 ,2017-06-01,155 ,26 
36 ,保定,0.8 ,91 ,良,78 ,aqi,253 ,23 ,2017-06-02,71 ,36 
29 ,保定,0.7 ,62 ,良,156 ,aqi,154 ,16 ,2017-06-03,97 ,28 
55 ,保定,0.8 ,105 ,轻度污染,201 ,aqi,294 ,40 ,2017-06-04,138 ,46 
79 ,保定,1 ,153 ,轻度污染,179 ,aqi,316 ,46 ,2017-06-05,118 ,59 
39 ,保定,0.6 ,52 ,良,117 ,aqi,332 ,12 ,2017-06-06,65 ,27 
56 ,保定,0.7 ,88 ,轻度污染,183 ,aqi,296 ,17 ,2017-06-07,121 ,37 
48 ,保定,0.8 ,104 ,轻度污染,190 ,aqi,263 ,24 ,2017-06-08,128 ,35 
45 ,保定,0.8 ,114 ,中度污染,221 ,aqi,271 ,29 ,2017-06-09,156 ,32 
29 ,保定,0.6 ,91 ,良,132 ,aqi,328 ,31 ,2017-06-10,77 ,26 
39 ,保定,0.7 ,106 ,中度污染,230 ,aqi,275 ,24 ,2017-06-11,165 ,41 
53 ,保定,0.9 ,104 ,轻度污染,192 ,aqi,306 ,23 ,2017-06-12,130 ,37 
55 ,保定,0.9 ,98 ,轻度污染,199 ,aqi,302 ,21 ,2017-06-13,136 ,36 
68 ,保定,0.8 ,123 ,轻度污染,201 ,aqi,330 ,12 ,2017-06-14,138 ,46 
64 ,保定,0.8 ,131 ,重度污染,276 ,aqi,322 ,22 ,2017-06-15,203 ,47 
81 ,保定,0.8 ,149 ,中度污染,261 ,aqi,326 ,26 ,2017-06-16,196 ,38 
88 ,保定,1.1 ,160 ,中度污染,250 ,aqi,271 ,31 ,2017-06-17,185 ,34 
66 ,保定,1 ,129 ,重度污染,274 ,aqi,275 ,25 ,2017-06-18,202 ,33 
69 ,保定,1 ,118 ,中度污染,258 ,aqi,315 ,17 ,2017-06-19,193 ,36 
55 ,保定,0.9 ,112 ,中度污染,226 ,aqi,332 ,14 ,2017-06-20,161 ,34 
68 ,安阳,1.8 ,142 ,中度污染,261 ,aqi,309 ,20 ,2017-06-01,196 ,50 
76 ,安阳,1.6 ,183 ,重度污染,294 ,aqi,320 ,21 ,2017-06-02,206 ,46 
25 ,安阳,1.6 ,78 ,良,101 ,aqi,297 ,33 ,2017-06-03,64 ,43 
51 ,安阳,2 ,118 ,轻度污染,202 ,aqi,329 ,33 ,2017-06-04,139 ,62 
31 ,安阳,1.2 ,67 ,良,122 ,aqi,331 ,10 ,2017-06-05,69 ,28 
31 ,安阳,1.3 ,51 ,良,160 ,aqi,103 ,10 ,2017-06-06,100 ,22 
49 ,安阳,1.5 ,115 ,轻度污染,200 ,aqi,308 ,18 ,2017-06-07,137 ,42 
50 ,安阳,1.5 ,135 ,良,132 ,aqi,334 ,18 ,2017-06-08,93 ,45 
39 ,安阳,1.4 ,103 ,轻度污染,189 ,aqi,166 ,22 ,2017-06-09,127 ,43 
50 ,安阳,1.4 ,180 ,中度污染,256 ,aqi,324 ,30 ,2017-06-10,191 ,42 
64 ,安阳,1.8 ,190 ,中度污染,218 ,aqi,338 ,43 ,2017-06-11,153 ,52 
92 ,安阳,1.8 ,222 ,重度污染,268 ,aqi,325 ,30 ,2017-06-12,201 ,44 
69 ,安阳,1.3 ,112 ,轻度污染,169 ,aqi,325 ,8 ,2017-06-13,109 ,27 
62 ,安阳,1.8 ,110 ,中度污染,237 ,aqi,322 ,25 ,2017-06-14,172 ,38 
76 ,安阳,1.6 ,158 ,中度污染,226 ,aqi,330 ,20 ,2017-06-15,161 ,50 
64 ,安阳,1.6 ,136 ,中度污染,233 ,aqi,298 ,22 ,2017-06-16,168 ,43 
58 ,安阳,1.3 ,126 ,中度污染,221 ,aqi,286 ,22 ,2017-06-17,156 ,42 
50 ,安阳,1.3 ,114 ,中度污染,242 ,aqi,290 ,20 ,2017-06-18,177 ,32 
61 ,安阳,1.7 ,132 ,中度污染,244 ,aqi,332 ,24 ,2017-06-19,179 ,42 
77 ,安阳,1.9 ,143 ,重度污染,289 ,aqi,287 ,24 ,2017-06-20,205 ,41 
23 ,鞍山,1 ,61 ,良,91 ,aqi,77 ,14 ,2017-06-01,56 ,30 
21 ,鞍山,0.8 ,54 ,良,67 ,aqi,148 ,17 ,2017-06-02,52 ,36 
24 ,鞍山,1.1 ,48 ,良,108 ,aqi,177 ,17 ,2017-06-03,57 ,29 
34 ,鞍山,1.2 ,64 ,良,148 ,aqi,160 ,21 ,2017-06-04,90 ,28 
25 ,鞍山,1 ,57 ,轻度污染,174 ,aqi,231 ,18 ,2017-06-05,113 ,29 
26 ,鞍山,0.8 ,52 ,良,126 ,aqi,301 ,10 ,2017-06-06,72 ,23 
61 ,鞍山,1.2 ,85 ,良,132 ,aqi,210 ,10 ,2017-06-07,83 ,26 
55 ,鞍山,1.5 ,88 ,轻度污染,189 ,aqi,311 ,19 ,2017-06-08,127 ,29 
26 ,鞍山,1.1 ,77 ,良,92 ,aqi,330 ,15 ,2017-06-09,64 ,28 
20 ,鞍山,1.1 ,70 ,良,102 ,aqi,263 ,20 ,2017-06-10,60 ,35 
25 ,鞍山,1.1 ,62 ,良,116 ,aqi,194 ,20 ,2017-06-11,64 ,38 
23 ,鞍山,1 ,55 ,良,118 ,aqi,209 ,18 ,2017-06-12,65 ,37 
36 ,鞍山,1.3 ,69 ,良,151 ,aqi,199 ,21 ,2017-06-13,93 ,34 
41 ,鞍山,1.6 ,83 ,中度污染,239 ,aqi,231 ,25 ,2017-06-14,174 ,26 
61 ,鞍山,2.3 ,122 ,重度污染,281 ,aqi,319 ,34 ,2017-06-15,203 ,48 
40 ,鞍山,1.2 ,107 ,中度污染,253 ,aqi,280 ,19 ,2017-06-16,188 ,26 
62 ,鞍山,1.2 ,109 ,中度污染,259 ,aqi,233 ,18 ,2017-06-17,194 ,19 
47 ,鞍山,1.2 ,84 ,中度污染,249 ,aqi,321 ,18 ,2017-06-18,184 ,23 
49 ,鞍山,1 ,82 ,良,146 ,aqi,225 ,11 ,2017-06-19,89 ,19 
21 ,鞍山,1.1 ,43 ,良,146 ,aqi,172 ,10 ,2017-06-20,89 ,24 
14 ,丹东,0.6 ,38 ,良,111 ,aqi,64 ,8 ,2017-06-01,60 ,18 
10 ,丹东,0.6 ,36 ,优,73 ,aqi,60 ,8 ,2017-06-02,37 ,20 
15 ,丹东,0.7 ,35 ,良,101 ,aqi,66 ,8 ,2017-06-03,51 ,17 
16 ,丹东,0.7 ,38 ,良,125 ,aqi,121 ,10 ,2017-06-04,71 ,18 
18 ,丹东,0.7 ,35 ,良,134 ,aqi,93 ,11 ,2017-06-05,79 ,18 
